Project,SurveyArea,site_tag,date_ddmmyyyy,time_24_UTC,latitude,longitude,depth_m,Leptasterias.polaris,Buccinum.undatum,Boreochiton.ruber,Crossaster.papposus,Echinarachnius.parma,Leptasterias.littoralis,Metridium.senile,Strongylocentrotus.droebachiensis,Urticina.felina,Pteraster.militaris,Chionoecetes.opilio,Hippoglossoides.platessoides,Arctica.islandica,Cancer.irroratus,Halichondria.panacea,Heliometra.glacialis
PlacentiaBay,Rushoon,Rus03,14082019,134505,47.35724795,-54.68451196,64,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus04,18082019,144448,47.35388957,-54.70389475,54,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus05,18082019,165032,47.35126298,-54.68664342,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus06,17082019,162358,47.36810692,-54.70274472,20,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus07,18082019,142947,47.35682105,-54.71410855,16,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus08,18082019,162321,47.34990646,-54.67908758,71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus11,14082019,142505,47.360932,-54.6925569,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus12,15082019,164504,47.3221278,-54.70186099,78,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus13,15082019,162254,47.32835115,-54.69075513,78,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus15,18082019,173736,47.32924717,-54.68255946,55,1,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus18,17082019,190440,47.30980921,-54.70823811,93,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus20,15082019,151921,47.330454,-54.6920097,99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PlacentiaBay,Rushoon,Rus21,15082019,145301,47.32903363,-54.69466534,127,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PlacentiaBay,Rushoon,Rus22,15082019,135830,47.32687402,-54.70035786,135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PlacentiaBay,Rushoon,Rus25,15082019,181921,47.32505234,-54.73022436,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus27,15082019,172241,47.31968203,-54.70692071,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus30,15082019,142910,47.3250916,-54.69814261,91,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PlacentiaBay,Rushoon,Rus33,18082019,132056,47.33735179,-54.70429347,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus34,15082019,175102,47.31552317,-54.70704774,82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus35,14082019,133250,47.35664304,-54.67314586,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus36,14082019,163230,47.36449832,-54.7077356,61,1,1,2,0,0,0,0,9,0,1,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus37,18082019,112850,47.33525281,-54.75770428,77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus39,14082019,140610,47.3625144,-54.68467972,42,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus40,18082019,121928,47.33936654,-54.72787035,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus41,17082019,182553,47.32694243,-54.68575794,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus45,17082019,170129,47.34693811,-54.66184208,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus46,18082019,155351,47.3619583,-54.67238292,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus47,17082019,173154,47.3329435,-54.67843089,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus48,18082019,153840,47.37155485,-54.67348934,30,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus50,18082019,184417,47.33930979,-54.6808929,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus53,17082019,184631,47.30854904,-54.69983827,18,0,0,0,0,214,0,0,271,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus54,15082019,113701,47.32666451,-54.71178945,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus56,14082019,155700,47.37491323,-54.70547893,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PlacentiaBay,Rushoon,Rus60,14082019,130100,47.35242691,-54.64788036,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab01,11072019,113953,47.28887859,-54.98628353,12,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab02,10072019,142702,47.27961162,-54.98936373,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PlacentiaBay,Dargent,Dab08,19082019,173601,47.26100367,-54.9772745,49,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab13,10072019,150129,47.25386687,-55.01160057,15,0,0,0,0,0,0,1,65,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab14,19082019,172310,47.25385952,-54.97737277,34,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
PlacentiaBay,Dargent,Dab15,11072019,130921,47.25143404,-54.98225126,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab17,19082019,124645,47.25052816,-54.989985,18,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab18,19082019,171114,47.24509246,-54.97358475,48,0,0,12,0,0,0,1,1,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab20,19082019,165457,47.23892496,-54.97713831,54,0,0,8,1,0,0,0,0,1,0,0,0,0,0,1,0
PlacentiaBay,Dargent,Dab21,19082019,162939,47.23894559,-55.01904844,58,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab23,10072019,153004,47.23443717,-55.01932368,40,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab24,19082019,160107,47.23559341,-55.02537336,58,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab25,11072019,182721,47.2335229,-54.97813189,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab27,11072019,134646,47.23052483,-54.98831804,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab30,11072019,140253,47.22820717,-55.02540647,42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab31,19082019,131600,47.2240571,-54.97379908,51,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab33,19082019,151808,47.22109593,-55.05191813,16,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0
PlacentiaBay,Dargent,Dab34,10072019,183403,47.21767892,-55.01760423,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab35,19082019,133914,47.2167273,-54.96798704,51,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab36,19082019,154429,47.21694241,-55.00378884,37,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab40,11072019,142419,47.21365281,-55.018715,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab41,19082019,141435,47.21135817,-54.97198783,59,1,0,8,0,0,0,2,0,0,0,0,0,0,0,1,0
PlacentiaBay,Dargent,Dab42,10072019,181119,47.20780462,-55.02204539,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab43,19082019,143655,47.20458508,-54.98164184,41,0,0,4,0,0,0,2,0,0,2,0,0,1,0,0,0
PlacentiaBay,Dargent,Dab44,10072019,190255,47.20182847,-54.97557131,56,0,0,0,4,0,0,43,0,34,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab45,11072019,150146,47.20214324,-54.99613279,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab46,11072019,154907,47.20187563,-54.98648414,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab47,19082019,144854,47.20090233,-54.99152751,47,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab48,11072019,152800,47.19360308,-54.99984124,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Dargent,Dab49,11072019,151309,47.19275066,-55.00930089,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur01,20072020,130500,47.08858252,-55.10517962,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur02,20072020,132434,47.08426985,-55.10896471,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur03,20072020,134434,47.07836337,-55.09148533,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur04,20072020,133343,47.07774103,-55.10305283,31,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur05,20072020,141904,47.07437997,-55.07211671,40,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur06,20072020,135137,47.07425127,-55.09381917,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur07,20072020,142836,47.06922801,-55.07964571,62,1,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0
PlacentiaBay,Burin,Bur08,20072020,140022,47.06905585,-55.10222003,28,0,0,0,0,239,0,0,4,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur10,20072020,144240,47.06531175,-55.08622638,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur11,20072020,145256,47.06367353,-55.09213577,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur12,22072020,142347,47.05934264,-55.09588195,30,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur13,20072020,152103,47.0583267,-55.10421473,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur14,20072020,185058,47.0510609,-55.13193906,39,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur15,20072020,153049,47.04872283,-55.10614968,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur16,20072020,164401,47.04865014,-55.11835521,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur17,20072020,153842,47.04702082,-55.10090148,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur19,20072020,163712,47.04681647,-55.14071018,42,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur21,20072020,184259,47.04484571,-55.13109606,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur22,21072020,120616,47.04414119,-55.16078606,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur23,22072020,143711,47.04401855,-55.12163473,22,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur24,20072020,154951,47.04216229,-55.10021413,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur29,20072020,191045,47.0340592,-55.15931924,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
PlacentiaBay,Burin,Bur30,20072020,192101,47.03365822,-55.16519538,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PlacentiaBay,Burin,Bur31,22072020,140054,47.03262623,-55.13792025,37,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur33,20072020,171241,47.02997393,-55.11372813,38,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur36,20072020,181330,47.0277059,-55.13821308,33,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PlacentiaBay,Burin,Bur37,20072020,173226,47.02764935,-55.12532785,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur39,22072020,115507,47.021883,-55.14221191,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur40,22072020,133428,47.02181123,-55.12859162,39,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
PlacentiaBay,Burin,Bur41,20072020,174154,47.02017331,-55.12005667,60,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
PlacentiaBay,Burin,Bur42,22072020,120429,47.01637295,-55.1449396,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur45,22072020,122418,47.00906543,-55.14141166,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur46,22072020,131028,47.00695518,-55.13128476,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,Burin,Bur48,22072020,130007,46.99933188,-55.1388772,72,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL01,2082020,124351,46.902052,-55.379629,30,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL02,2082020,125300,46.897399,-55.367911,35,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL04,2082020,131202,46.88282668,-55.362178,44,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL05,2082020,132038,46.881208,-55.369531,40,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL06,2082020,133215,46.870912,-55.369714,50,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL07,1082020,161858,46.862996,-55.362681,72,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL08,2082020,134246,46.868545,-55.35997,65,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL09,2082020,143525,46.85511069,-55.351814,91,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL11,2082020,162837,46.877412,-55.353657,65,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL13,2082020,165130,46.888101,-55.344127,76,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL14,2082020,194834,46.917285,-55.355454,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL15,2082020,194259,46.911248,-55.34624,31,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL16,2082020,193525,46.90375637,-55.340998,53,0,0,0,0,16,0,0,2,0,0,1,0,0,0,0,0
PlacentiaBay,StLawrence,SL17,2082020,192923,46.89759452,-55.33913,38,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL18,2082020,191444,46.892298,-55.338315,55,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL19,2082020,142242,46.864617,-55.335847,96,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
PlacentiaBay,StLawrence,SL22,2082020,190704,46.891368,-55.330776,70,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL23,2082020,192218,46.899248,-55.32781,23,0,0,0,0,0,0,13,4,1,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL25,2082020,171035,46.886679,-55.323695,92,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL27,2082020,185817,46.895366,-55.31706863,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL28,2082020,171833,46.889078,-55.316702,80,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL29,2082020,184826,46.88426422,-55.309677,102,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
PlacentiaBay,StLawrence,SL31,2082020,172714,46.89462531,-55.307173,66,2,0,0,0,0,0,1,2,1,3,0,0,1,0,0,0
PlacentiaBay,StLawrence,SL33,2082020,182247,46.886746,-55.30276,93,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PlacentiaBay,StLawrence,SL34,2082020,173515,46.897599,-55.302574,64,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL36,2082020,183102,46.89305528,-55.297592,77,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL37,2082020,174332,46.89799742,-55.29663,47,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL39,2082020,181401,46.890457,-55.291934,83,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL40,2082020,180354,46.887113,-55.284358,89,4,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
PlacentiaBay,StLawrence,SL41,3082020,130301,46.879073,-55.283916,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL43,3082020,140649,46.908357,-55.276854,43,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL44,3082020,141439,46.90355724,-55.27632164,64,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL45,3082020,131149,46.88145563,-55.276085,101,0,4,0,0,0,0,0,0,0,0,4,1,0,0,0,0
PlacentiaBay,StLawrence,SL46,3082020,134116,46.898009,-55.273814,83,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL47,3082020,135859,46.90941,-55.27064384,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL48,3082020,132909,46.891992,-55.27060242,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL49,3082020,134933,46.902968,-55.269987,69,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
PlacentiaBay,StLawrence,SL50,3082020,132026,46.885134,-55.267698,92,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
